,Title,Rating,Metascore,No Votes,Url,Description
58,Four Weddings and a Funeral,7.1,81,162431,https://www.imdb.com/title/tt0109831/?ref_=sr_t_59,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
59,The Green Mile,8.6,61,1376220,https://www.imdb.com/title/tt0120689/?ref_=sr_t_60,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
60,Eternal Sunshine of the Spotless Mind,8.3,89,1056210,https://www.imdb.com/title/tt0338013/?ref_=sr_t_61,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
61,Spider-Man: Into the Spider-Verse,8.4,87,644512,https://www.imdb.com/title/tt4633694/?ref_=sr_t_62,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
62,Australia,6.6,53,128597,https://www.imdb.com/title/tt0455824/?ref_=sr_t_63,"In 1939, an Englishwoman inherits a sprawling ranch in northern Australia and reluctantly makes a pact with a stockman to drive 2000 head of cattle over unforgiving landscape."
63,Get Out,7.8,85,672881,https://www.imdb.com/title/tt5052448/?ref_=sr_t_64,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
64,Frozen,7.4,75,652849,https://www.imdb.com/title/tt2294629/?ref_=sr_t_65,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
65,The Favourite,7.5,91,215512,https://www.imdb.com/title/tt5083738/?ref_=sr_t_66,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
66,Tenet,7.3,69,570747,https://www.imdb.com/title/tt6723592/?ref_=sr_t_67,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
67,Her,8.0,91,654482,https://www.imdb.com/title/tt1798709/?ref_=sr_t_68,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
68,Call Me by Your Name,7.8,94,302041,https://www.imdb.com/title/tt5726616/?ref_=sr_t_69,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
69,Harry Potter and the Deathly Hallows: Part 1,7.7,65,584931,https://www.imdb.com/title/tt0926084/?ref_=sr_t_70,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
70,Catch Me If You Can,8.1,75,1063877,https://www.imdb.com/title/tt0264464/?ref_=sr_t_71,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
71,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,63,1185908,https://www.imdb.com/title/tt0325980/?ref_=sr_t_72,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
72,The Lobster,7.1,82,280129,https://www.imdb.com/title/tt3464902/?ref_=sr_t_73,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods."
73,The Truman Show,8.2,90,1162228,https://www.imdb.com/title/tt0120382/?ref_=sr_t_74,An insurance salesman discovers his whole life is actually a reality TV show.
